id	score	topic	answer	problem_preview
11	0.777778	geometry	6	Consider a convex hexagon \(ABCDEF\) where each side length is a distinct integer from 1 to 6. If the perimeter of the hexagon is 20, find the length of the longest side.
12	0.555556	combinatorics	(0, 0)	In a certain country, the number of registered drivers (D) and the number of cars (C) satisfy the equation $D^2 - 3CD + 2C^2 = 0$. If the number of registered drivers is three times the number of cars, find the total number of registered d...
13	0.444444	number_theory	3	Let \( S \) be a set of \( n \) distinct positive integers such that for any two elements \( a, b \in S \), the sum \( a + b \) is not divisible by 3. Find the maximum possible value of \( n \). Given that each element in \( S \) can be co...
14	0.666667	geometry	120	There are 10 distinct points in a plane, no three of which are collinear. These points are used to form line segments such that no three segments intersect at a single point. How many such non-overlapping triangles can be formed by selecti...
15	0.444444	other	320	In the land of Mathemagica, a wizard has a magical garden where he plants mystical flowers. Each day, the number of flowers in his garden doubles, but every third day, he casts a spell that reduces the number of flowers by 50%. If he start...
16	0.555556	number_theory	7	Let \( f(x) \) be a function defined on the set of positive integers such that \( f(1) = 2 \) and for all positive integers \( n \), \( f(n+1) = f(n)^2 - f(n) + 1 \). Find the smallest positive integer \( k \) such that \( f(k) > 10^{12} \...
17	0.777778	number_theory	3	Find the smallest positive integer \( n \) such that the equation \( x^2 + y^2 + z^2 = nxyz \) has at least one solution in positive integers \( x, y, z \).
18	0.555556	number_theory	625	What is the largest integer less than 1000 that is not prime and has exactly five positive integer divisors?
19	0.777778	geometry	TX \perp AP	Let \(ABC\) be a triangle with \(AB \neq AC\). The circle with diameter \(BC\) intersects \(AB\) and \(AC\) at \(D\) and \(E\) respectively. The tangents to this circle at \(D\) and \(E\) meet at point \(T\). If \(P\) is the midpoint of \(...
20	0.777778	number_theory	170	In a sequence of numbers, each term after the first is formed by adding to the previous term the product of the digits of the previous term. For example, starting with 23, the sequence would be 23, 29, 35, 41, 47, ... Find the 10th term in...
21	0.333333	number_theory	(1, 1),\ (1, -2),\ (-1, 2),\ (-1, -1),\ (2, -1),\ (-2, 1)	Find all integer solutions \( (x, y) \) to the equation \( x^2 + xy + y^2 = 3 \).
22	0.333333	number_theory	3	Find the smallest positive integer $n$ such that the number $n^4 + 4$ is divisible by $13$.
23	0.333333	number_theory	19	A set of five positive integers has an arithmetic mean of 150. A particular number among the five exceeds another by 100. The rest of the three numbers lie between these two numbers and are equal. How many different values can the largest ...
24	0.666667	combinatorics	5000	In a certain math competition, each contestant must solve a set of problems from five different categories: algebra, geometry, number theory, combinatorics, and probability. Each category contains exactly 10 problems, and each contestant m...
25	0.666667	other	s^3 \left( 1 - \frac{\pi}{6} \right)	A sphere is inscribed in a cube with side length \( s \). The sphere is then rotated about an axis passing through its center and two opposite vertices of the cube. Calculate the volume of the region within the cube that is not occupied by...
26	0.444444	number_theory	0	Let \( a \) and \( b \) be positive integers such that \( a^2 + b^2 = 2024 \). Find the number of possible ordered pairs \( (a, b) \) where both \( a \) and \( b \) are integers.
27	0.333333	geometry	2 \sqrt{6}	A regular tetrahedron with side length 1 is inscribed in a sphere of radius \(R\). If the sphere is then inscribed in another tetrahedron with side length \(S\), find the value of \(S/R\).
28	0.555556	algebra	1	Let $P(x)$ be a polynomial with real coefficients such that $P(0) = 1$ and $P(x) = P(1-x)$ for all real $x$. Suppose that the polynomial $Q(x) = P(x)P(-x)$ has $2023$ distinct real roots. Find the sum of all possible values of $P(2023)$.
29	0.666667	geometry	\dfrac{9}{2}	A regular hexagon with side length 1 is divided into six equilateral triangles, each of which has side length 1. A point P is chosen inside the hexagon such that the sum of the squares of the distances from P to each side of the hexagon is...
30	0.666667	geometry	12	In a special board game, a player starts at position 0 on a number line and moves according to the following rules: 1. On the first move, the player moves forward by 3 spaces. 2. On the second move, the player moves backward by 5 spaces. 3...
31	0.333333	number_theory	10	Let \( f(x) \) be a polynomial with integer coefficients such that \( f(0) = 1 \), \( f(1) = 2 \), and \( f(2) = 5 \). If \( f(n) \) is prime for all \( n \geq 0 \), what is the smallest possible value of \( f(3) \)?
32	0.444444	geometry	\frac{3\sqrt{65}}{4}	Let \( ABC \) be a triangle with \( AB = 13 \), \( BC = 14 \), and \( CA = 15 \). Point \( D \) lies on \( BC \) such that \( AD \) is the angle bisector of \( \angle BAC \). If \( E \) is the midpoint of \( AD \), find the length of \( AE...
33	0.666667	geometry	5	Let \( A \) and \( B \) be two sets of integers such that \( A \) contains all positive integers that can be expressed as the sum of two distinct squares of positive integers, and \( B \) contains all integers greater than 1 that cannot be...
34	0.750000	number_theory	8	Let $f(n)$ be the number of ways to express $n$ as the sum of positive integers, where the order of the summands matters. For example, $f(3) = 4$ because $3$ can be expressed as $3, 2+1, 1+2,$ and $1+1+1$. Find the smallest positive intege...
35	0.777778	number_theory	4	A sequence of numbers $a_1, a_2, a_3, \ldots$ is defined by the recurrence relation $a_n = a_{n-1} + \frac{1}{a_{n-1}}$ for all $n \geq 2$, with $a_1 = 1$. Find the integer part of $a_{10}$.
36	0.444444	combinatorics	0	There is a sequence of numbers \( a_1, a_2, a_3, \ldots, a_{100} \) where each \( a_i \) is either 1 or -1. Let \( S \) be the sum of all possible products \( a_i \cdot a_j \) for \( 1 \leq i < j \leq 100 \). Determine the value of \( S \).
37	0.777778	number_theory	32	What is the least positive integer \( n \) such that the sum of the first \( n \) terms of an arithmetic sequence with the first term 1 and common difference 2 is exactly 1000? Hint: The sum of the first \( n \) terms of an arithmetic sequ...
38	0.777778	other	1, 4, 9, 16, 25, 36, 49, 64, 81, 100	There are 100 students in a class. Each student has a unique locker numbered from 1 to 100. Initially, all lockers are closed. A series of 100 passes are made. On the first pass, every student opens every locker. On the second pass, every ...
39	0.333333	geometry	12	Given a triangle with vertices \( A(0,0) \), \( B(4,0) \), and \( C(2,6) \), find the area of the triangle after it is rotated 90 degrees counterclockwise about the point \( B \). Express your answer as a decimal rounded to the nearest ten...
40	0.555556	number_theory	6	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined as follows: \(a_1 = 1\), and for all \(n \geq 1\), \(a_{n+1} = a_n^2 + 1\). Determine the units digit of \(a_{10}\).
41	0.444444	geometry	-3	In the coordinate plane, points A and B are located at (2, 5) and (8, 11) respectively. Point C is chosen on the x-axis such that the area of triangle ABC is minimized. Find the x-coordinate of point C.
42	0.444444	number_theory	3	The sequence \( a_n \) is defined by \( a_1 = 1 \), \( a_2 = 2 \), and for \( n \geq 3 \), \( a_n = 2a_{n-1} + a_{n-2} \). Find the remainder when \( a_{2024} \) is divided by 5.
43	0.333333	algebra	3	A cubic polynomial $p(x)$ with real coefficients satisfies $p(0) = -1$, $p(1) = -5$, and has a local extremum at $x = -1$. Find $p(2)$.
44	0.555556	combinatorics	12	What is the number of distinct ways to arrange the letters in the word "MATH" such that the letter 'M' is never at the beginning or end of the word?
45	0.777778	geometry	10	Given a right triangle with legs of lengths 6 units and 8 units, what is the length of the hypotenuse?
46	0.444444	geometry	25	In the Cartesian coordinate system, a circle is defined by the equation \(x^2 + y^2 = 25\). A point \(P\) lies on this circle. If the tangent line at \(P\) intersects the x-axis at point \(A\) and the y-axis at point \(B\), find the area o...
47	0.444444	combinatorics	6198	In the sequence of numbers \(a_1, a_2, a_3, \ldots, a_n\), each term after the first is determined by the formula \(a_n = 2a_{n-1} + n^2\). If \(a_1 = 1\), what is the value of \(a_{10}\)?
48	0.333333	number_theory	3	Find the number of positive integers \( n \leq 1000 \) such that the equation \( x^2 + y^2 = n \) has exactly 12 solutions in positive integers \( x \) and \( y \).
49	0.375000	number_theory	1000	Consider an arithmetic sequence \( \{a_n\} \) with the first term \( a_1 = 5 \) and common difference \( d = 4 \). Let \( S_n \) denote the sum of the first \( n \) terms of this sequence. Define \( T_n = S_n + 3n^2 \). Find the smallest p...
50	0.444444	algebra	n-1	In a certain kingdom, there are $n$ cities, each with $m$ roads connecting them in such a way that any city can reach any other city by traveling through some number of roads. The kingdom has decided to construct a new road system to minim...
51	0.555556	geometry	72	In a triangular pyramid (tetrahedron) $ABCD$, the faces $ABC$, $ACD$, and $ADB$ are congruent isosceles triangles with bases $BC$, $CD$, and $DA$ respectively. Each of these faces has a height of 6 units and a base length of 8 units. If th...
52	0.500000	number_theory	4	What is the smallest positive integer $n$ for which the equation $x^2 - n = 0$ has exactly two distinct integer solutions, both of which are positive?
53	0.444444	geometry	4	In a game of strategy, two players take turns placing either a red or blue piece on a $3 \times 3$ grid. The first player to form a line of three pieces of the same color horizontally, vertically, or diagonally wins. If Player A starts by ...
54	0.666667	number_theory	34	What is the smallest positive integer \( n \) such that \( 19n \equiv 1 \pmod{43} \)?
55	0.333333	combinatorics	10	In the town of Milto, a unique coin system exists. There are coins worth 3 units and 17 units. A tourist arrives in Milto with an unknown amount of money. She discovers that she can pay for any whole number price from 1 to 100 units withou...
56	0.444444	number_theory	2025	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined such that for each \(n \geq 1\), \(a_{n+1}\) is the smallest positive integer that is not a factor of \(a_n\). Given that \(a_1 = 2023\) and \(a_{2023} = 2024\), find the...
57	0.444444	algebra	137	Suppose $g(x)$ is a quadratic polynomial such that $g(x+1) - g(x) = 4x + 3$, and $g(0) = 1$. Find the value of $g(8)$.
58	0.333333	geometry	1	How many ways are there to place 6 non-attacking rooks on an 8x8 chessboard such that each row and column contains at most one rook, and the rooks are placed on the squares with coordinates (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), and (6, 7...
59	0.333333	number_theory	3900	What is the sum of all positive integers \( n \) such that \( n \) is a multiple of 3, but not a multiple of 5, and \( 100 < n < 200 \)?
60	0.333333	geometry	\frac{1}{2}	A regular hexagon is inscribed in a circle with radius 1. If we randomly select a point on the circumference of the circle, what is the probability that the distance from the selected point to the nearest vertex of the hexagon is less than...
61	0.777778	number_theory	5050	Let \( f \) be a function defined on the set of non-negative integers with the following properties: 1. \( f(1) = 1 \) 2. \( f(a + b) = f(a) + f(b) + ab \) for all non-negative integers \( a \) and \( b \). Find the value of \( f(100) \).
62	0.777778	geometry	10	What is the maximum number of sides a convex polygon can have if the sum of its interior angles is 1440 degrees?
63	0.375000	number_theory	-2	Let $P(x)$ be a polynomial with integer coefficients satisfying $P(1) = 2$, $P(2) = 3$, and $P(3) = 5$. If $P(n) = n^2 + 1$ for some integer $n$, find the smallest possible value of $n$.
64	0.444444	geometry	2r^2	A rectangle is inscribed in a circle of radius $r$. One side of the rectangle lies along the diameter of the circle, and the rectangle has a maximum area. If the length of this side is $2r$, find the area of the rectangle in terms of $r$.
65	0.777778	geometry	8	Let \( ABCD \) be a cyclic quadrilateral with \( AB \) as a diameter of its circumcircle. Let \( P \) be a point on segment \( AC \) such that \( BP \) is perpendicular to \( AC \). If \( AB = 10 \) and \( AP = 6 \), find the length of \( ...
66	0.555556	number_theory	0	Find the number of distinct solutions to the equation \( x^4 + y^4 = 100 \) where \( x \) and \( y \) are integers.
67	0.444444	combinatorics	1	Let \( f(n) \) be the number of ways to write \( n \) as the sum of distinct powers of 2. For example, \( f(10) = 2 \) because 10 can be written as \( 2^3 + 2^1 \) or \( 2^3 + 2^1 + 2^0 \), but note that the second representation is not va...
68	0.777778	geometry	37	Let \(S\) be the set of all positive integers less than \(1000\) that are perfect squares or perfect cubes. How many elements does \(S\) have?
69	0.333333	geometry	9	Let $ABC$ be an isosceles triangle with $AB = AC = 20$ and $BC = 24$. Let $D$ be a point on $BC$ such that $BD = 12$ and $CD = 12$. Let $E$ be the point of intersection of $AD$ and the circumcircle of triangle $ABC$, other than $A$. Find t...
70	0.444444	other	25	In a certain high school, there are 50 students who are part of a mathematics club. Each student is required to complete a unique set of 5 different mathematical challenges from a collection of 10 available challenges. If a challenge is co...
71	0.555556	number_theory	2	Find the smallest positive integer \( n \) such that the polynomial \( x^n - 1 \) can be factored into the product of two non-constant polynomials with integer coefficients, and prove that this is indeed the smallest such \( n \).
72	0.333333	geometry	\frac{25}{13}	In a right-angled triangle \( \triangle ABC \) with \( \angle ACB = 90^\circ \), \( AB = 13 \), and \( AC = 5 \), a circle with diameter \( AC \) intersects \( AB \) at point \( D \). What is the length of \( AD \)? Express your answer as ...
73	0.333333	number_theory	1	Find the smallest positive integer \( n \) such that \( n^2 - 1 \) is divisible by 105.
74	0.444444	number_theory	1001	A sequence of positive integers starts with $a_1 = 1$ and follows the rule that for all $n \geq 1$, $a_{n+1} = a_n^2 - a_n + 1$. Find the smallest positive integer $k$ such that the sum of the first $k$ terms of the sequence is greater tha...
75	0.777778	algebra	1	A function \( f(x) \) satisfies the equation \( f(x) + f\left(\frac{1}{x}\right) = x^2 + \frac{1}{x^2} \) for all non-zero \( x \). Given that \( f(1) = 2 \), find the value of \( f(-1) \).
76	0.444444	algebra	66	Let \( f(x) \) be a polynomial of degree 4 such that \( f(1) = 1, f(2) = 2, f(3) = 3, f(4) = 4 \), and \( f(5) = 15 \). Find the value of \( f(0) + f(6) \).
77	0.444444	geometry	35.0	A convex pentagon has side lengths of 5, 6, 7, 8, and 9 units. What is the smallest possible perimeter of a pentagon inscribed in this pentagon, sharing the same vertices, but with different side lengths? Express your answer as a decimal t...
78	0.555556	algebra	78	Let \( P(x) = x^3 + ax^2 + bx + c \) be a cubic polynomial with real coefficients. Given that \( P(1) = 0 \), \( P(2) = 10 \), and \( P(3) = 34 \), find the value of \( P(4) \).
79	0.333333	geometry	r \sqrt{2 - \sqrt{2}}	A regular octagon is inscribed in a circle of radius $r$. Each vertex of the octagon is connected to the center of the circle, dividing the octagon into eight congruent isosceles triangles. If the area of each triangle is equal to half the...
80	0.444444	geometry	24	A circle is inscribed in a right triangle with legs of lengths 30 and 40. The circle is tangent to the hypotenuse at point \(P\), and to the legs at points \(Q\) and \(R\). If the length of the hypotenuse is 50, find the length of the segm...
81	0.777778	number_theory	nm	In a magical forest, there are \( n \) trees, each with \( k \) branches. The number of fruits on each branch follows a pattern based on its position: the first branch of a tree has 1 fruit, the second has 2 fruits, and so on, with the \( ...
82	0.444444	geometry	1	In triangle \( \triangle ABC \), the lengths of the sides are given by \( AB = 13 \), \( BC = 14 \), and \( CA = 15 \). Point \( D \) lies on side \( BC \) such that \( BD = 5 \) and \( DC = 9 \). Let \( E \) be the point where the incircl...
83	0.333333	geometry	4	A circle with center \( O \) and radius \( OA \) is tangent to the sides of an equilateral triangle at points \( B, C, D \). A perpendicular is drawn from \( O \) to side \( AC \) at point \( E \). If the radius of the circle is 4, find th...
84	0.555556	number_theory	1	There exists a unique sequence of positive integers \(a_1, a_2, a_3, \ldots, a_{2023}\) such that \[a_1 = 1, \quad a_{n+1} = \begin{cases} a_n + n & \text{if } a_n \text{ is odd,} \\ \frac{a_n}{2} & \text{if } a_n \text{ is even.} \end{cas...
85	0.555556	number_theory	4	** What is the smallest positive integer \( n \) such that \( 2^n \) ends with the digit 6?
86	0.777778	geometry	\frac{13}{15}	In triangle $ABC$, $AB = 13$, $BC = 14$, and $CA = 15$. Let $D$ be a point on $\overline{BC}$ such that $\angle BAD = \angle CAD$. If the area of triangle $ABD$ is $x$ and the area of triangle $ACD$ is $y$, find the value of $\frac{x}{y}$.
87	0.555556	sequence	144	In a certain country, the population of rabbits follows the Fibonacci sequence, starting with 1 pair of rabbits in the first month. If a pair of rabbits never dies and starts breeding after 2 months, how many rabbits will there be at the e...
88	0.666667	geometry	5	In the coordinate plane, consider a triangle with vertices at $(0,0)$, $(10,0)$, and $(5, h)$. If the area of the triangle is 25 square units and $h$ is a positive integer, find the value of $h$.
89	0.444444	geometry	\frac{1}{2}	In the Cartesian plane, consider a circle centered at the origin with radius 1. Two distinct points \(A\) and \(B\) lie on this circle such that the line segment \(AB\) subtends an angle \(\theta\) at the center of the circle, where \(0 < ...
90	0.444444	geometry	10\sqrt{2}	A regular hexagon is inscribed in a circle with radius 10. Points \( A, B, \) and \( C \) are three consecutive vertices of the hexagon. Point \( P \) is the midpoint of arc \( BC \). Find the length of the segment \( AP \).
91	0.777778	number_theory	1	A sequence of numbers \(a_1, a_2, a_3, \ldots, a_{100}\) is defined such that \(a_1 = 1\) and for \(n \geq 1\), \(a_{n+1} = a_n^2 - a_n + 1\). Determine the remainder when \(a_{100}\) is divided by 5.
92	0.444444	geometry	30^\circ	A regular hexagon $ABCDEF$ is inscribed in a circle. Points $G$, $H$, and $I$ lie on the circle such that $G$ lies on the extension of $\overline{AB}$, $H$ lies on the extension of $\overline{CD}$, and $I$ lies on the extension of $\overli...
93	0.666667	combinatorics	3	Consider a sequence of real numbers \(a_1, a_2, a_3, \ldots, a_n\) such that for each \(i \geq 2\), \(a_i\) is the average of the first \(i-1\) terms of the sequence. If \(a_5 = 3\), find the value of \(a_4\).
94	0.333333	geometry	3	In a convex quadrilateral \( ABCD \), the diagonals intersect at \( O \). Given that the areas of triangles \( AOB, BOC, COD, \) and \( DOA \) are in the ratio \( 1:2:3:4 \) respectively, and that \( AB = 2 \) units, find the length of \( ...
95	0.333333	number_theory	33	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined by the recurrence relation \(a_{n+1} = 3a_n + 2\) for all \(n \geq 1\), with \(a_1 = 1\). What is the remainder when \(a_{20}\) is divided by 100?
96	0.444444	number_theory	4	What is the smallest positive integer \( n \) such that the sum of the reciprocals of the first \( n \) positive integers, \( H_n = 1 + \frac{1}{2} + \frac{1}{3} + \cdots + \frac{1}{n} \), is greater than 2?
97	0.375000	number_theory	2	Let $f(x) = x^3 + ax^2 + bx + c$ be a cubic polynomial with real coefficients, where $a, b, c$ are integers. Suppose that $f(x)$ has three distinct real roots, one of which is $2$. If the product of the other two roots is equal to $-4$, fi...
98	0.333333	other	5	In a tournament with 10 teams, each pair of teams plays against each other exactly once. After the tournament, a "star team" is defined as any team that has won at least half of its games. Determine the maximum possible number of star team...
99	0.333333	number_theory	21	Let \( f(x) = ax^2 + bx + c \) be a quadratic function where \( a, b, \) and \( c \) are integers. If \( f(2) = 10 \) and \( f(-1) = 1 \), what is the value of \( f(3) \)?
100	0.666667	geometry	OF \perp DE	Let \( ABC \) be an acute triangle with circumcenter \( O \). The circle through \( B \) and \( C \) tangent to \( AC \) intersects \( AB \) at \( D \neq B \), and the circle through \( A \) and \( B \) tangent to \( BC \) intersects \( BC...
101	0.333333	other	\frac{\sqrt{6}}{12} s	A regular tetrahedron $ABCD$ has side length $s$. A point $P$ inside the tetrahedron is such that the distances from $P$ to the faces of the tetrahedron are equal. If the volume of the tetrahedron can be expressed as $\frac{\sqrt{2}}{12}s^...
102	0.444444	number_theory	5, 11	Find all prime numbers \( p \) such that \( p^2 - 5p + 7 \) is also a prime number.
103	0.666667	geometry	4	In a triangle ABC, the lengths of sides AB, BC, and CA are 13, 14, and 15 units respectively. A point P inside the triangle is such that the distances from P to sides AB, BC, and CA are equal. Find the length of these distances. Express yo...
104	0.333333	combinatorics	60	In a small town, there are 120 houses arranged in a perfect 10 by 12 grid. A new road is being planned to connect some pairs of houses directly without passing through any other houses. The road must be straight and can only connect two ho...
105	0.444444	geometry	\frac{\sqrt{3}r}{2}	In a circle with radius \(r\), a chord \(AB\) is drawn such that \(AB = r\). If the distance from the center of the circle to \(AB\) is \(d\), find \(d\) in terms of \(r\).
106	0.777778	number_theory	15	What is the smallest positive integer \( n \) such that \( n! \) (n factorial) is divisible by \( 1000 \)?
107	0.333333	other	6	在一个无限长的数轴上，初始时有一个单位圆心在原点。每次操作可以选择一个实数 \( r \)，然后在数轴上有一个单位圆心与点 \( r \) 重合。每次操作后，观察单位圆与数轴上的整数点是否有交集。请问，经过 \( n \) 次操作后，至少存在多少个整数点与至少一个单位圆相交？给定 \( n = 5 \)，求解该问题的答案。
108	0.666667	geometry	1	Find the smallest positive integer \( n \) such that \( n^2 + 14n + 49 \) is a perfect square.
109	0.777778	number_theory	10	Find the sum of all integers \( n \) such that \( n \) is a divisor of both 120 and 180, and \( n \) is also a prime number.
110	0.555556	number_theory	5	Determine the number of positive integers \( n \) less than 100 that are divisible by 6 and 9.
111	0.555556	geometry	5\sqrt{2}	A square $ABCD$ has a side length of 10 units. A smaller square $EFGH$ is inscribed in $ABCD$ such that $E$ is on $AB$, $F$ is on $BC$, $G$ is on $CD$, and $H$ is on $DA$. The diagonal $EG$ intersects $CD$ at point $I$, and the diagonal $F...
112	0.333333	geometry	5	In the Cartesian coordinate plane, a triangle ABC has vertices A(0, 0), B(6, 0), and C(x, y) such that x and y are positive integers. The area of triangle ABC is 12 square units. How many possible coordinates for point C are there, ensurin...
113	0.333333	number_theory	(0, -1), (-1, 0), (3, 0), (0, 3), (8, 3), (3, 8)	Find all pairs of integers \((x, y)\) that satisfy the equation \(x^2 - 2xy + y^2 - 2x - 2y = 3\).
114	0.777778	geometry	\sqrt{2}	A circle with radius \( r \) is inscribed in a square, and the square is then inscribed in another circle. The region between the two circles is shaded. If the area of the shaded region is equal to the area of the smaller circle, find the ...
115	0.444444	geometry	13	Let \( S \) be the set of all real numbers \( x \) such that the inequality \[ x^2 - 5x + 6 < 0 \] holds. Find the sum of the squares of the smallest and largest integers in \( S \).
116	0.555556	geometry	4092529	A sequence of positive integers \(a_1, a_2, a_3, \ldots\) is defined by \(a_1 = 1\), and for \(n \geq 1\), \(a_{n+1}\) is the smallest positive integer such that \(a_{n+1} > a_n\) and the product \(a_{n+1}a_n\) is a perfect square. Find th...
117	0.333333	geometry	\frac{100\pi}{3}	A circular track has a radius of 100 meters. Two runners start from the same point and run in opposite directions at constant speeds of 5 meters per second and 7 meters per second, respectively. How many seconds will it take for them to me...
118	0.555556	number_theory	120	A positive integer \( n \) is called a **doubly-perfect number** if the sum of its proper divisors (divisors excluding the number itself) is equal to \( 2n \). Find the smallest doubly-perfect number.
119	0.333333	geometry	100	In a special math tournament, each participant is given a unique number from 1 to \( n \) where \( n \) is a positive integer. A rule is established that for any pair of participants with numbers \( a \) and \( b \), where \( a < b \), the...
120	0.333333	geometry	19	In a small village, there are 50 houses. Every house is painted either red or blue. It is known that the number of red houses is a prime number and the number of blue houses is a perfect square. If there are exactly 10 more red houses than...
121	0.555556	geometry	32	In the coordinate plane, a circle with radius $r$ is centered at the origin $(0,0)$. Let $P$ be a point on the circle such that the tangent at $P$ intersects the x-axis at $A$ and the y-axis at $B$. If the area of triangle $OAB$ (where $O$...
122	0.777778	combinatorics	0.20	In a certain high school, there are 100 students in a math club. Each student is either an algebra enthusiast, a geometry enthusiast, or both. It is known that 70 students are algebra enthusiasts and 50 students are geometry enthusiasts. I...
123	0.666667	geometry	1	Let \( A, B, C \) be the angles of a triangle. Suppose that \[ \cos A \cos B = \frac{1}{2}. \] Find the maximum possible value of \( \sin C. \)
124	0.333333	algebra	1	Let \( a, b, \) and \( c \) be real numbers such that the equation \( ax^2 + bx + c = 0 \) has roots that are also the roots of the equation \( x^4 - 2x^3 + x^2 - 2x + 1 = 0 \). Find the value of \( a + b + c \).
125	0.777778	number_theory	1	Find all positive integers \( n \) such that both \( n^2 + 1 \) and \( n^2 + 2 \) are prime numbers.
126	0.555556	number_theory	2080	In a grid of size \( n \times n \), each cell contains a unique integer from 1 to \( n^2 \). A path is defined as a sequence of cells starting from the top-left corner and ending at the bottom-right corner, moving only right or down. What ...
127	0.777778	number_theory	p	Let \( f(x) \) be a function defined for all positive integers \( x \) such that \( f(x) \) is the smallest positive integer \( n \) for which \( \gcd(n, x) = x \). If \( x \) is a prime number \( p \), what is \( f(p) \)?
128	0.444444	geometry	18\pi	A square has a side length of 6 cm. A circle is inscribed in the square, and a smaller circle is circumscribed around the inscribed circle. What is the area of the smaller circle?
129	0.777778	number_theory	1	What is the smallest positive integer \( n \) for which the polynomial \( x^2 - n \) has integer roots, and also satisfies \( n \equiv 1 \pmod{4} \)?
130	0.750000	geometry	\frac{1}{4}	A circle of radius 1 is centered at the origin (0,0) in the coordinate plane. A point (x, y) is randomly selected from the interior of the circle. What is the probability that the distance of the point from the origin is less than or equal...
131	0.333333	algebra	-36	Let \( f(x) \) be a polynomial of degree 3 such that \( f(1) = 0 \), \( f(2) = 4 \), and \( f(3) = 12 \). Additionally, the polynomial satisfies the condition that \( f(x) \) has a local minimum at \( x = 2 \). Find the value of \( f(0) \).
132	0.444444	geometry	6	In the coordinate plane, let \( A = (-3, 0) \), \( B = (0, 4) \), and \( C = (3, 0) \). Point \( P \) is chosen inside the triangle \( ABC \) such that the distances from \( P \) to \( AB \), \( BC \), and \( CA \) are in the ratio \( 1:2:...
133	0.333333	number_theory	30	In a city, there are 100 houses numbered from 1 to 100. Each house is either painted red, blue, or green. It is known that no two adjacent houses (i.e., houses numbered \(n\) and \(n+1\) for any integer \(n\) from 1 to 99) are painted the ...
134	0.777778	number_theory	1	Find all positive integers \( n \) such that \( n^3 + 2n^2 + 3n + 4 \) is divisible by \( n + 1 \).
135	0.555556	geometry	\frac{\pi}{4}	A square region $S$ with side length $4$ units is centered at the origin of the coordinate plane. If a point $(x, y)$ is randomly chosen from region $S$, what is the probability that the distance from the point to the origin is less than $...
136	0.555556	geometry	18	A circle is inscribed in a square, and a smaller square is inscribed in the circle. If the area of the larger square is 36 square units, find the area of the smaller square. Express your answer in simplest radical form.
137	0.555556	other	0	在一个正方形的每个顶点上放置一个力源，每个力源产生的力为与其顶点之间的距离平方成反比。如果每个力源的强度相同且均为单位强度，求在正方形中心点所受合力的模长。
138	0.777778	number_theory	55	Let \( f: \mathbb{Z} \rightarrow \mathbb{Z} \) be a function that satisfies the following conditions: 1. \( f(x + y) = f(x) + f(y) + xy \) for all integers \( x \) and \( y \). 2. \( f(1) = 1 \). Find \( f(10) \).
