tensor,layer,module,delta_id,family,round,parameter_count,l2_norm
model.layers.7.self_attn.v_proj.weight,layer_07,attention_v,solver_full_r5,solver_full,5,2621440,0.006932918694536181
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,questioner_full_r1,questioner_full,1,24903680,0.01064976102779209
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,questioner_full_r2,questioner_full,2,24903680,0.08226470239346426
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,questioner_full_r3,questioner_full,3,24903680,0.07980781170904255
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,questioner_full_r4,questioner_full,4,24903680,0.08089539991378991
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,questioner_full_r5,questioner_full,5,24903680,0.08067045131288576
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_rank1_r1,solver_rank1,1,24903680,0.015130294986457975
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_rank1_r2,solver_rank1,2,24903680,0.016338976545953787
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_rank1_r3,solver_rank1,3,24903680,0.015718045613344202
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_rank1_r4,solver_rank1,4,24903680,0.01586060564729018
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_rank1_r5,solver_rank1,5,24903680,0.014721919893324482
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_full_r1,solver_full,1,24903680,0.016573435097797115
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_full_r2,solver_full,2,24903680,0.018176946928767677
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_full_r3,solver_full,3,24903680,0.017777707966342243
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_full_r4,solver_full,4,24903680,0.017726576136802848
model.layers.33.mlp.down_proj.weight,layer_33,mlp_down,solver_full_r5,solver_full,5,24903680,0.016552144417240195
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,questioner_full_r1,questioner_full,1,10485760,0.007958885550776755
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,questioner_full_r2,questioner_full,2,10485760,0.053804160220387906
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,questioner_full_r3,questioner_full,3,10485760,0.051551724496337034
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,questioner_full_r4,questioner_full,4,10485760,0.054500355015497465
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,questioner_full_r5,questioner_full,5,10485760,0.05393703283534148
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_rank1_r1,solver_rank1,1,10485760,0.00976253192549811
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_rank1_r2,solver_rank1,2,10485760,0.011871395369129479
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_rank1_r3,solver_rank1,3,10485760,0.010515926449495514
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_rank1_r4,solver_rank1,4,10485760,0.010963233832663096
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_rank1_r5,solver_rank1,5,10485760,0.010465986522006601
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_full_r1,solver_full,1,10485760,0.010858393041174266
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_full_r2,solver_full,2,10485760,0.013009828094280506
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_full_r3,solver_full,3,10485760,0.011690577854979617
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_full_r4,solver_full,4,10485760,0.012055111044940817
model.layers.33.self_attn.o_proj.weight,layer_33,attention_o,solver_full_r5,solver_full,5,10485760,0.011650637120667091
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,questioner_full_r1,questioner_full,1,24903680,0.014371396542908553
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,questioner_full_r2,questioner_full,2,24903680,0.06308079445674743
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,questioner_full_r3,questioner_full,3,24903680,0.059614608359132244
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,questioner_full_r4,questioner_full,4,24903680,0.06391307043882602
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,questioner_full_r5,questioner_full,5,24903680,0.0643187061796227
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_rank1_r1,solver_rank1,1,24903680,0.012790055303086306
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_rank1_r2,solver_rank1,2,24903680,0.013136582189821657
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_rank1_r3,solver_rank1,3,24903680,0.01196170901289909
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_rank1_r4,solver_rank1,4,24903680,0.013299009593920656
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_rank1_r5,solver_rank1,5,24903680,0.01625580100319216
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_full_r1,solver_full,1,24903680,0.013639878809856917
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_full_r2,solver_full,2,24903680,0.014466120859610528
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_full_r3,solver_full,3,24903680,0.013235222091812195
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_full_r4,solver_full,4,24903680,0.014239892570243117
model.layers.2.mlp.up_proj.weight,layer_02,mlp_up,solver_full_r5,solver_full,5,24903680,0.017404405593219804
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,questioner_full_r1,questioner_full,1,24903680,0.011754752189526011
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,questioner_full_r2,questioner_full,2,24903680,0.08690982209534064
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,questioner_full_r3,questioner_full,3,24903680,0.08421022883530528
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,questioner_full_r4,questioner_full,4,24903680,0.08148090472625487
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,questioner_full_r5,questioner_full,5,24903680,0.08385746086768735
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_rank1_r1,solver_rank1,1,24903680,0.0171342284541029
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_rank1_r2,solver_rank1,2,24903680,0.018061813062791834
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_rank1_r3,solver_rank1,3,24903680,0.017687111419247004
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_rank1_r4,solver_rank1,4,24903680,0.017728240459151407
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_rank1_r5,solver_rank1,5,24903680,0.01721869650622549
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_full_r1,solver_full,1,24903680,0.018957160034688936
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_full_r2,solver_full,2,24903680,0.020362763915607672
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_full_r3,solver_full,3,24903680,0.02026889859110575
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_full_r4,solver_full,4,24903680,0.02029656706861087
model.layers.22.mlp.gate_proj.weight,layer_22,mlp_gate,solver_full_r5,solver_full,5,24903680,0.01973310139758636
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,questioner_full_r1,questioner_full,1,24903680,0.01782507714582597
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,questioner_full_r2,questioner_full,2,24903680,0.06922616710828561
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,questioner_full_r3,questioner_full,3,24903680,0.06816442009063846
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,questioner_full_r4,questioner_full,4,24903680,0.07672123119008771
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,questioner_full_r5,questioner_full,5,24903680,0.07547809226063493
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_rank1_r1,solver_rank1,1,24903680,0.018536232099484837
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_rank1_r2,solver_rank1,2,24903680,0.018062148902573898
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_rank1_r3,solver_rank1,3,24903680,0.016686172120614486
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_rank1_r4,solver_rank1,4,24903680,0.016625917466900557
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_rank1_r5,solver_rank1,5,24903680,0.017979582717178342
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_full_r1,solver_full,1,24903680,0.019792998648919147
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_full_r2,solver_full,2,24903680,0.019858685278164836
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_full_r3,solver_full,3,24903680,0.018262895803198263
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_full_r4,solver_full,4,24903680,0.01817907794887007
model.layers.2.mlp.down_proj.weight,layer_02,mlp_down,solver_full_r5,solver_full,5,24903680,0.019719392703673847
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,questioner_full_r1,questioner_full,1,24903680,0.010319135715320447
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,questioner_full_r2,questioner_full,2,24903680,0.07005890309343539
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,questioner_full_r3,questioner_full,3,24903680,0.07068820061580058
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,questioner_full_r4,questioner_full,4,24903680,0.0769507117644896
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,questioner_full_r5,questioner_full,5,24903680,0.07824902757065394
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_rank1_r1,solver_rank1,1,24903680,0.014681393957062513
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_rank1_r2,solver_rank1,2,24903680,0.015904858315629346
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_rank1_r3,solver_rank1,3,24903680,0.0155228710863557
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_rank1_r4,solver_rank1,4,24903680,0.014381937550375114
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_rank1_r5,solver_rank1,5,24903680,0.016386516136180064
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_full_r1,solver_full,1,24903680,0.015763002308089344
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_full_r2,solver_full,2,24903680,0.017425646753914035
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_full_r3,solver_full,3,24903680,0.01718292692162538
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_full_r4,solver_full,4,24903680,0.015947835643928748
model.layers.5.mlp.gate_proj.weight,layer_05,mlp_gate,solver_full_r5,solver_full,5,24903680,0.01744123475362416
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,questioner_full_r1,questioner_full,1,24903680,0.01221684353474512
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,questioner_full_r2,questioner_full,2,24903680,0.08414172358235536
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,questioner_full_r3,questioner_full,3,24903680,0.08292274737978109
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,questioner_full_r4,questioner_full,4,24903680,0.07933888776330199
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,questioner_full_r5,questioner_full,5,24903680,0.08173354711546987
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_rank1_r1,solver_rank1,1,24903680,0.017198430105832406
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_rank1_r2,solver_rank1,2,24903680,0.018107664541317885
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_rank1_r3,solver_rank1,3,24903680,0.017749617054375756
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_rank1_r4,solver_rank1,4,24903680,0.01790351842301294
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_rank1_r5,solver_rank1,5,24903680,0.017437404834310746
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_full_r1,solver_full,1,24903680,0.018991532171319596
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_full_r2,solver_full,2,24903680,0.020373036884432528
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_full_r3,solver_full,3,24903680,0.020305555150609722
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_full_r4,solver_full,4,24903680,0.02046943825143879
model.layers.23.mlp.down_proj.weight,layer_23,mlp_down,solver_full_r5,solver_full,5,24903680,0.01990994517113025
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,questioner_full_r1,questioner_full,1,128,1.1444091796875e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,questioner_full_r2,questioner_full,2,128,3.964349687733942e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,questioner_full_r3,questioner_full,3,128,4.718519926778023e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,questioner_full_r4,questioner_full,4,128,4.1262259774749636e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,questioner_full_r5,questioner_full,5,128,3.325575976212062e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_rank1_r1,solver_rank1,1,128,8.529922399520072e-06
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_rank1_r2,solver_rank1,2,128,1.7059844799040144e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_rank1_r3,solver_rank1,3,128,1.0789593218788873e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_rank1_r4,solver_rank1,4,128,1.0789593218788873e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_rank1_r5,solver_rank1,5,128,1.3214498959113138e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_full_r1,solver_full,1,128,7.62939453125e-06
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_full_r2,solver_full,2,128,2.0542773464715972e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_full_r3,solver_full,3,128,8.529922399520072e-06
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_full_r4,solver_full,4,128,1.0789593218788873e-05
model.layers.12.self_attn.k_norm.weight,layer_12,normalization,solver_full_r5,solver_full,5,128,1.3214498959113138e-05
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,questioner_full_r1,questioner_full,1,24903680,0.013406820293004714
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,questioner_full_r2,questioner_full,2,24903680,0.07674897864018582
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,questioner_full_r3,questioner_full,3,24903680,0.08151450256342785
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,questioner_full_r4,questioner_full,4,24903680,0.08065032796595406
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,questioner_full_r5,questioner_full,5,24903680,0.08307166798980038
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_rank1_r1,solver_rank1,1,24903680,0.020887643622337273
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_rank1_r2,solver_rank1,2,24903680,0.021459758360427912
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_rank1_r3,solver_rank1,3,24903680,0.020851478135911452
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_rank1_r4,solver_rank1,4,24903680,0.018408834986631296
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_rank1_r5,solver_rank1,5,24903680,0.020837704114957938
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_full_r1,solver_full,1,24903680,0.022474077735743087
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_full_r2,solver_full,2,24903680,0.023653034163755356
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_full_r3,solver_full,3,24903680,0.023320647240702146
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_full_r4,solver_full,4,24903680,0.020697343503389712
model.layers.10.mlp.up_proj.weight,layer_10,mlp_up,solver_full_r5,solver_full,5,24903680,0.022244233112940937
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,questioner_full_r1,questioner_full,1,10485760,0.007924166823064255
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,questioner_full_r2,questioner_full,2,10485760,0.05380338169339547
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,questioner_full_r3,questioner_full,3,10485760,0.05330738216072788
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,questioner_full_r4,questioner_full,4,10485760,0.0535571776096105
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,questioner_full_r5,questioner_full,5,10485760,0.05411206562101264
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,solver_rank1_r1,solver_rank1,1,10485760,0.01100504856435862
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,solver_rank1_r2,solver_rank1,2,10485760,0.012120678505508712
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,solver_rank1_r3,solver_rank1,3,10485760,0.011213652894378607
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,solver_rank1_r4,solver_rank1,4,10485760,0.011470406715700526
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,solver_rank1_r5,solver_rank1,5,10485760,0.011007694033727117
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,solver_full_r1,solver_full,1,10485760,0.012078258128084994
model.layers.30.self_attn.o_proj.weight,layer_30,attention_o,solver_full_r2,solver_full,2,10485760,0.013447754501947996
